Projeto,Linha de ação,Região,Indicador regionalizado
11,11.12,Vila Mariana (VM),1
11,11.12,Vila Prudente (VP),1
11,11.12,A definir,0
11,11.12,Supraregional,0
11,11.13,Aricanduva (AF),0
11,11.13,Butantã (BT),0
11,11.13,Campo Limpo (CL),50
11,11.13,Capela do Socorro (CS),0
11,11.13,Casa Verde (CV),0
11,11.13,Cidade Ademar (AD),0
11,11.13,Cidade Tiradentes (CT),0
11,11.13,Ermelino Matarazzo (EM),0
11,11.13,Freguesia/Brasilândia (FO),0
11,11.13,Guaianases (G),0
11,11.13,Ipiranga (IP),50
11,11.13,Itaim Paulista (IT),0
11,11.13,Itaquera (IQ),50
11,11.13,Jabaquara (JA),0
11,11.13,Jaçanã/Tremembé (JT),0
11,11.13,Lapa (LA),0
11,11.13,M´Boi Mirim (MB),0
11,11.13,Mooca (MO),0
11,11.13,Parelheiros (PA),0
11,11.13,Penha (PE),0
11,11.13,Perus (PR),0
11,11.13,Pinheiros (PI),50
11,11.13,Pirituba/Jaraguá (PJ),0
11,11.13,Santana/Tucuruvi (ST),50
11,11.13,Santo Amaro (SA),0
11,11.13,São Mateus (SM),0
11,11.13,São Miguel Paulista (MP),0
11,11.13,Sapopemba (SP),0
11,11.13,Sé (SE),50
11,11.13,Vila Maria/Vila Guilherme (MG),0
11,11.13,Vila Mariana (VM),0
11,11.13,Vila Prudente (VP),0
11,11.13,A definir,0
11,11.13,Supraregional,0
11,11.14,Aricanduva (AF),0
11,11.14,Butantã (BT),1
11,11.14,Campo Limpo (CL),2
11,11.14,Capela do Socorro (CS),1
11,11.14,Casa Verde (CV),0
11,11.14,Cidade Ademar (AD),0
11,11.14,Cidade Tiradentes (CT),0
11,11.14,Ermelino Matarazzo (EM),1
11,11.14,Freguesia/Brasilândia (FO),1
11,11.14,Guaianases (G),0
11,11.14,Ipiranga (IP),0
11,11.14,Itaim Paulista (IT),2
11,11.14,Itaquera (IQ),1
11,11.14,Jabaquara (JA),1
11,11.14,Jaçanã/Tremembé (JT),1
11,11.14,Lapa (LA),1
11,11.14,M´Boi Mirim (MB),1
11,11.14,Mooca (MO),1
11,11.14,Parelheiros (PA),0
11,11.14,Penha (PE),1
11,11.14,Perus (PR),1
11,11.14,Pinheiros (PI),0
11,11.14,Pirituba/Jaraguá (PJ),3
11,11.14,Santana/Tucuruvi (ST),0
11,11.14,Santo Amaro (SA),1
11,11.14,São Mateus (SM),0
11,11.14,São Miguel Paulista (MP),0
11,11.14,Sapopemba (SP),0
11,11.14,Sé (SE),0
11,11.14,Vila Maria/Vila Guilherme (MG),1
11,11.14,Vila Mariana (VM),1
11,11.14,Vila Prudente (VP),1
11,11.14,A definir,0
11,11.14,Supraregional,0
13,13.4,Aricanduva (AF),1
13,13.4,Butantã (BT),1
13,13.4,Campo Limpo (CL),0
13,13.4,Capela do Socorro (CS),1
13,13.4,Casa Verde (CV),1
13,13.4,Cidade Ademar (AD),0
13,13.4,Cidade Tiradentes (CT),1
13,13.4,Ermelino Matarazzo (EM),1
13,13.4,Freguesia/Brasilândia (FO),1
13,13.4,Guaianases (G),1
13,13.4,Ipiranga (IP),1
13,13.4,Itaim Paulista (IT),1
13,13.4,Itaquera (IQ),1
13,13.4,Jabaquara (JA),1
13,13.4,Jaçanã/Tremembé (JT),0
13,13.4,Lapa (LA),1
13,13.4,M´Boi Mirim (MB),0
13,13.4,Mooca (MO),1
13,13.4,Parelheiros (PA),1
13,13.4,Penha (PE),1
13,13.4,Perus (PR),1
13,13.4,Pinheiros (PI),1
13,13.4,Pirituba/Jaraguá (PJ),1
13,13.4,Santana/Tucuruvi (ST),1
13,13.4,Santo Amaro (SA),1
13,13.4,São Mateus (SM),1
13,13.4,São Miguel Paulista (MP),1
13,13.4,Sapopemba (SP),1
13,13.4,Sé (SE),1
13,13.4,Vila Maria/Vila Guilherme (MG),0
13,13.4,Vila Mariana (VM),1
13,13.4,Vila Prudente (VP),1
13,13.4,A definir,0
13,13.4,Supraregional,0
14,14.2,Aricanduva (AF),1
14,14.2,Butantã (BT),0
14,14.2,Campo Limpo (CL),1
14,14.2,Capela do Socorro (CS),0
14,14.2,Casa Verde (CV),0
14,14.2,Cidade Ademar (AD),0
14,14.2,Cidade Tiradentes (CT),0
14,14.2,Ermelino Matarazzo (EM),0
14,14.2,Freguesia/Brasilândia (FO),0
14,14.2,Guaianases (G),0
14,14.2,Ipiranga (IP),0
14,14.2,Itaim Paulista (IT),1
14,14.2,Itaquera (IQ),0
14,14.2,Jabaquara (JA),0
14,14.2,Jaçanã/Tremembé (JT),1
14,14.2,Lapa (LA),0
14,14.2,M´Boi Mirim (MB),0
14,14.2,Mooca (MO),0
14,14.2,Parelheiros (PA),1
14,14.2,Penha (PE),0
14,14.2,Perus (PR),0
14,14.2,Pinheiros (PI),1
14,14.2,Pirituba/Jaraguá (PJ),1
14,14.2,Santana/Tucuruvi (ST),0
14,14.2,Santo Amaro (SA),1
14,14.2,São Mateus (SM),0
14,14.2,São Miguel Paulista (MP),0
14,14.2,Sapopemba (SP),0
14,14.2,Sé (SE),1
14,14.2,Vila Maria/Vila Guilherme (MG),0
14,14.2,Vila Mariana (VM),1
14,14.2,Vila Prudente (VP),0
14,14.2,A definir,0
14,14.2,Supraregional,0
15,15.1,Aricanduva (AF),0
15,15.1,Butantã (BT),0
15,15.1,Campo Limpo (CL),0
15,15.1,Capela do Socorro (CS),0
15,15.1,Casa Verde (CV),0
15,15.1,Cidade Ademar (AD),0
15,15.1,Cidade Tiradentes (CT),0
15,15.1,Ermelino Matarazzo (EM),0
15,15.1,Freguesia/Brasilândia (FO),0
15,15.1,Guaianases (G),0
15,15.1,Ipiranga (IP),1
15,15.1,Itaim Paulista (IT),0
15,15.1,Itaquera (IQ),0
15,15.1,Jabaquara (JA),0
15,15.1,Jaçanã/Tremembé (JT),0
15,15.1,Lapa (LA),0
15,15.1,M´Boi Mirim (MB),0
15,15.1,Mooca (MO),0
15,15.1,Parelheiros (PA),0
15,15.1,Penha (PE),0
15,15.1,Perus (PR),0
15,15.1,Pinheiros (PI),0
15,15.1,Pirituba/Jaraguá (PJ),0
15,15.1,Santana/Tucuruvi (ST),0
15,15.1,Santo Amaro (SA),0
15,15.1,São Mateus (SM),0
15,15.1,São Miguel Paulista (MP),0
15,15.1,Sapopemba (SP),0
15,15.1,Sé (SE),0
15,15.1,Vila Maria/Vila Guilherme (MG),0
15,15.1,Vila Mariana (VM),0
15,15.1,Vila Prudente (VP),0
15,15.1,A definir,3
15,15.1,Supraregional,0
15,15.2,Aricanduva (AF),1
15,15.2,Butantã (BT),0
15,15.2,Campo Limpo (CL),0
15,15.2,Capela do Socorro (CS),1
15,15.2,Casa Verde (CV),3
15,15.2,Cidade Ademar (AD),0
15,15.2,Cidade Tiradentes (CT),0
15,15.2,Ermelino Matarazzo (EM),2
15,15.2,Freguesia/Brasilândia (FO),0
15,15.2,Guaianases (G),1
15,15.2,Ipiranga (IP),1
15,15.2,Itaim Paulista (IT),0
15,15.2,Itaquera (IQ),1
15,15.2,Jabaquara (JA),1
15,15.2,Jaçanã/Tremembé (JT),1
15,15.2,Lapa (LA),1
15,15.2,M´Boi Mirim (MB),0
15,15.2,Mooca (MO),20
15,15.2,Parelheiros (PA),0
15,15.2,Penha (PE),4
15,15.2,Perus (PR),0
15,15.2,Pinheiros (PI),1
15,15.2,Pirituba/Jaraguá (PJ),0
15,15.2,Santana/Tucuruvi (ST),5
15,15.2,Santo Amaro (SA),3
15,15.2,São Mateus (SM),1
15,15.2,São Miguel Paulista (MP),2
15,15.2,Sapopemba (SP),0
15,15.2,Sé (SE),26
15,15.2,Vila Maria/Vila Guilherme (MG),3
15,15.2,Vila Mariana (VM),1
15,15.2,Vila Prudente (VP),2
15,15.2,A definir,0
15,15.2,Supraregional,0
15,15.4,Aricanduva (AF),1
15,15.4,Butantã (BT),0
15,15.4,Campo Limpo (CL),0
15,15.4,Capela do Socorro (CS),1
15,15.4,Casa Verde (CV),3
15,15.4,Cidade Ademar (AD),0
15,15.4,Cidade Tiradentes (CT),0
15,15.4,Ermelino Matarazzo (EM),2
15,15.4,Freguesia/Brasilândia (FO),0
15,15.4,Guaianases (G),1
15,15.4,Ipiranga (IP),1
15,15.4,Itaim Paulista (IT),0
15,15.4,Itaquera (IQ),1
15,15.4,Jabaquara (JA),1
15,15.4,Jaçanã/Tremembé (JT),1
15,15.4,Lapa (LA),1
15,15.4,M´Boi Mirim (MB),0
15,15.4,Mooca (MO),20
15,15.4,Parelheiros (PA),0
15,15.4,Penha (PE),4
15,15.4,Perus (PR),0
15,15.4,Pinheiros (PI),1
15,15.4,Pirituba/Jaraguá (PJ),0
15,15.4,Santana/Tucuruvi (ST),5
15,15.4,Santo Amaro (SA),3
15,15.4,São Mateus (SM),1
15,15.4,São Miguel Paulista (MP),2
15,15.4,Sapopemba (SP),0
15,15.4,Sé (SE),26
15,15.4,Vila Maria/Vila Guilherme (MG),3
15,15.4,Vila Mariana (VM),1
15,15.4,Vila Prudente (VP),2
15,15.4,A definir,0
15,15.4,Supraregional,0
15,15.5,Aricanduva (AF),0
15,15.5,Butantã (BT),0
15,15.5,Campo Limpo (CL),0
15,15.5,Capela do Socorro (CS),0
15,15.5,Casa Verde (CV),0
15,15.5,Cidade Ademar (AD),0
15,15.5,Cidade Tiradentes (CT),0
15,15.5,Ermelino Matarazzo (EM),0
15,15.5,Freguesia/Brasilândia (FO),0
15,15.5,Guaianases (G),0
15,15.5,Ipiranga (IP),1
15,15.5,Itaim Paulista (IT),0
15,15.5,Itaquera (IQ),0
15,15.5,Jabaquara (JA),0
15,15.5,Jaçanã/Tremembé (JT),0
15,15.5,Lapa (LA),0
15,15.5,M´Boi Mirim (MB),0
15,15.5,Mooca (MO),0
15,15.5,Parelheiros (PA),0
15,15.5,Penha (PE),0
15,15.5,Perus (PR),0
15,15.5,Pinheiros (PI),0
15,15.5,Pirituba/Jaraguá (PJ),0
15,15.5,Santana/Tucuruvi (ST),0
15,15.5,Santo Amaro (SA),0
15,15.5,São Mateus (SM),0
15,15.5,São Miguel Paulista (MP),0
15,15.5,Sapopemba (SP),0
15,15.5,Sé (SE),0
15,15.5,Vila Maria/Vila Guilherme (MG),0
15,15.5,Vila Mariana (VM),0
15,15.5,Vila Prudente (VP),0
15,15.5,A definir,3
15,15.5,Supraregional,0
15,15.7,Aricanduva (AF),0
15,15.7,Butantã (BT),0
15,15.7,Campo Limpo (CL),0
15,15.7,Capela do Socorro (CS),0
15,15.7,Casa Verde (CV),0
15,15.7,Cidade Ademar (AD),0
15,15.7,Cidade Tiradentes (CT),0
15,15.7,Ermelino Matarazzo (EM),0
15,15.7,Freguesia/Brasilândia (FO),0
15,15.7,Guaianases (G),0
15,15.7,Ipiranga (IP),0
15,15.7,Itaim Paulista (IT),0
15,15.7,Itaquera (IQ),0
15,15.7,Jabaquara (JA),0
15,15.7,Jaçanã/Tremembé (JT),0
15,15.7,Lapa (LA),0
15,15.7,M´Boi Mirim (MB),0
15,15.7,Mooca (MO),1
15,15.7,Parelheiros (PA),0
15,15.7,Penha (PE),0
15,15.7,Perus (PR),0
15,15.7,Pinheiros (PI),0
15,15.7,Pirituba/Jaraguá (PJ),0
15,15.7,Santana/Tucuruvi (ST),0
15,15.7,Santo Amaro (SA),0
15,15.7,São Mateus (SM),0
15,15.7,São Miguel Paulista (MP),0
15,15.7,Sapopemba (SP),0
15,15.7,Sé (SE),0
15,15.7,Vila Maria/Vila Guilherme (MG),0
15,15.7,Vila Mariana (VM),0
15,15.7,Vila Prudente (VP),0
15,15.7,A definir,8
15,15.7,Supraregional,0
18,18.1,Aricanduva (AF),2
18,18.1,Butantã (BT),1
18,18.1,Campo Limpo (CL),1
18,18.1,Capela do Socorro (CS),1
18,18.1,Casa Verde (CV),1
18,18.1,Cidade Ademar (AD),0
18,18.1,Cidade Tiradentes (CT),2
18,18.1,Ermelino Matarazzo (EM),1
18,18.1,Freguesia/Brasilândia (FO),0
18,18.1,Guaianases (G),0
18,18.1,Ipiranga (IP),1
18,18.1,Itaim Paulista (IT),0
18,18.1,Itaquera (IQ),1
18,18.1,Jabaquara (JA),1
18,18.1,Jaçanã/Tremembé (JT),0
18,18.1,Lapa (LA),2
18,18.1,M´Boi Mirim (MB),0
18,18.1,Mooca (MO),1
18,18.1,Parelheiros (PA),0
18,18.1,Penha (PE),1
18,18.1,Perus (PR),1
18,18.1,Pinheiros (PI),0
18,18.1,Pirituba/Jaraguá (PJ),2
18,18.1,Santana/Tucuruvi (ST),1
18,18.1,Santo Amaro (SA),2
18,18.1,São Mateus (SM),0
18,18.1,São Miguel Paulista (MP),0
18,18.1,Sapopemba (SP),0
18,18.1,Sé (SE),3
18,18.1,Vila Maria/Vila Guilherme (MG),0
18,18.1,Vila Mariana (VM),2
18,18.1,Vila Prudente (VP),1
18,18.1,A definir,0
18,18.1,Supraregional,0
18,18.3,Aricanduva (AF),2200
18,18.3,Butantã (BT),817
18,18.3,Campo Limpo (CL),475
18,18.3,Capela do Socorro (CS),293
18,18.3,Casa Verde (CV),446
18,18.3,Cidade Ademar (AD),0
18,18.3,Cidade Tiradentes (CT),719
18,18.3,Ermelino Matarazzo (EM),287
18,18.3,Freguesia/Brasilândia (FO),900
18,18.3,Guaianases (G),0
18,18.3,Ipiranga (IP),981
18,18.3,Itaim Paulista (IT),350
18,18.3,Itaquera (IQ),300
18,18.3,Jabaquara (JA),1320
18,18.3,Jaçanã/Tremembé (JT),280
18,18.3,Lapa (LA),929
18,18.3,M´Boi Mirim (MB),0
18,18.3,Mooca (MO),569
18,18.3,Parelheiros (PA),0
18,18.3,Penha (PE),865
18,18.3,Perus (PR),129
18,18.3,Pinheiros (PI),0
18,18.3,Pirituba/Jaraguá (PJ),689
18,18.3,Santana/Tucuruvi (ST),2141
18,18.3,Santo Amaro (SA),2267
18,18.3,São Mateus (SM),750
18,18.3,São Miguel Paulista (MP),0
18,18.3,Sapopemba (SP),483
18,18.3,Sé (SE),1900
18,18.3,Vila Maria/Vila Guilherme (MG),939
18,18.3,Vila Mariana (VM),500
18,18.3,Vila Prudente (VP),0
18,18.3,A definir,0
18,18.3,Supraregional,0
18,18.5,Aricanduva (AF),1031
18,18.5,Butantã (BT),620
18,18.5,Campo Limpo (CL),630
18,18.5,Capela do Socorro (CS),1101
18,18.5,Casa Verde (CV),150
18,18.5,Cidade Ademar (AD),0
18,18.5,Cidade Tiradentes (CT),560
18,18.5,Ermelino Matarazzo (EM),278
18,18.5,Freguesia/Brasilândia (FO),430
18,18.5,Guaianases (G),0
18,18.5,Ipiranga (IP),907
18,18.5,Itaim Paulista (IT),583
18,18.5,Itaquera (IQ),430
18,18.5,Jabaquara (JA),1009
18,18.5,Jaçanã/Tremembé (JT),368
18,18.5,Lapa (LA),440
18,18.5,M´Boi Mirim (MB),200
18,18.5,Mooca (MO),527
18,18.5,Parelheiros (PA),0
18,18.5,Penha (PE),531
18,18.5,Perus (PR),95
18,18.5,Pinheiros (PI),0
18,18.5,Pirituba/Jaraguá (PJ),1200
18,18.5,Santana/Tucuruvi (ST),890
18,18.5,Santo Amaro (SA),1450
18,18.5,São Mateus (SM),360
18,18.5,São Miguel Paulista (MP),205
18,18.5,Sapopemba (SP),350
18,18.5,Sé (SE),1610
18,18.5,Vila Maria/Vila Guilherme (MG),675
18,18.5,Vila Mariana (VM),670
18,18.5,Vila Prudente (VP),0
18,18.5,A definir,0
18,18.5,Supraregional,0
18,18.8,Aricanduva (AF),2
18,18.8,Butantã (BT),2
18,18.8,Campo Limpo (CL),2
18,18.8,Capela do Socorro (CS),2
18,18.8,Casa Verde (CV),3
18,18.8,Cidade Ademar (AD),2
18,18.8,Cidade Tiradentes (CT),2
18,18.8,Ermelino Matarazzo (EM),2
18,18.8,Freguesia/Brasilândia (FO),3
18,18.8,Guaianases (G),3
18,18.8,Ipiranga (IP),2
18,18.8,Itaim Paulista (IT),3
18,18.8,Itaquera (IQ),3
18,18.8,Jabaquara (JA),2
18,18.8,Jaçanã/Tremembé (JT),2
18,18.8,Lapa (LA),2
18,18.8,M´Boi Mirim (MB),2
18,18.8,Mooca (MO),2
18,18.8,Parelheiros (PA),2
18,18.8,Penha (PE),5
18,18.8,Perus (PR),2
18,18.8,Pinheiros (PI),2
18,18.8,Pirituba/Jaraguá (PJ),2
18,18.8,Santana/Tucuruvi (ST),2
18,18.8,Santo Amaro (SA),2
18,18.8,São Mateus (SM),2
18,18.8,São Miguel Paulista (MP),6
18,18.8,Sapopemba (SP),3
18,18.8,Sé (SE),3
18,18.8,Vila Maria/Vila Guilherme (MG),2
18,18.8,Vila Mariana (VM),3
18,18.8,Vila Prudente (VP),3
18,18.8,A definir,0
18,18.8,Supraregional,0
19,19.1,Aricanduva (AF),952
19,19.1,Butantã (BT),3041
19,19.1,Campo Limpo (CL),10820
19,19.1,Capela do Socorro (CS),6602
19,19.1,Casa Verde (CV),2428
19,19.1,Cidade Ademar (AD),7961
19,19.1,Cidade Tiradentes (CT),352
19,19.1,Ermelino Matarazzo (EM),1155
19,19.1,Freguesia/Brasilândia (FO),2024
19,19.1,Guaianases (G),593
19,19.1,Ipiranga (IP),3034
19,19.1,Itaim Paulista (IT),1795
19,19.1,Itaquera (IQ),2359
19,19.1,Jabaquara (JA),1964
19,19.1,Jaçanã/Tremembé (JT),3743
19,19.1,Lapa (LA),1011
19,19.1,M´Boi Mirim (MB),10169
19,19.1,Mooca (MO),1462
19,19.1,Parelheiros (PA),1729
19,19.1,Penha (PE),2276
19,19.1,Perus (PR),339
19,19.1,Pinheiros (PI),443
19,19.1,Pirituba/Jaraguá (PJ),1370
19,19.1,Santana/Tucuruvi (ST),1188
19,19.1,Santo Amaro (SA),1318
19,19.1,São Mateus (SM),5749
19,19.1,São Miguel Paulista (MP),2494
19,19.1,Sapopemba (SP),2490
19,19.1,Sé (SE),1200
19,19.1,Vila Maria/Vila Guilherme (MG),2083
19,19.1,Vila Mariana (VM),836
19,19.1,Vila Prudente (VP),520
19,19.1,A definir,0
19,19.1,Supraregional,0
29,29.1,Aricanduva (AF),0
29,29.1,Butantã (BT),1
29,29.1,Campo Limpo (CL),1
29,29.1,Capela do Socorro (CS),0
29,29.1,Casa Verde (CV),0
29,29.1,Cidade Ademar (AD),1
29,29.1,Cidade Tiradentes (CT),0
29,29.1,Ermelino Matarazzo (EM),1
29,29.1,Freguesia/Brasilândia (FO),1
29,29.1,Guaianases (G),1
29,29.1,Ipiranga (IP),1
29,29.1,Itaim Paulista (IT),1
29,29.1,Itaquera (IQ),0
29,29.1,Jabaquara (JA),0
29,29.1,Jaçanã/Tremembé (JT),0
29,29.1,Lapa (LA),0
29,29.1,M´Boi Mirim (MB),0
29,29.1,Mooca (MO),0
29,29.1,Parelheiros (PA),1
29,29.1,Penha (PE),0
29,29.1,Perus (PR),0
29,29.1,Pinheiros (PI),0
29,29.1,Pirituba/Jaraguá (PJ),1
29,29.1,Santana/Tucuruvi (ST),0
29,29.1,Santo Amaro (SA),1
29,29.1,São Mateus (SM),1
29,29.1,São Miguel Paulista (MP),0
29,29.1,Sapopemba (SP),0
29,29.1,Sé (SE),0
29,29.1,Vila Maria/Vila Guilherme (MG),0
29,29.1,Vila Mariana (VM),0
29,29.1,Vila Prudente (VP),0
29,29.1,A definir,0
29,29.1,Supraregional,0
29,29.6,Aricanduva (AF),0
29,29.6,Butantã (BT),0
29,29.6,Campo Limpo (CL),0
29,29.6,Capela do Socorro (CS),0
29,29.6,Casa Verde (CV),0
29,29.6,Cidade Ademar (AD),1
29,29.6,Cidade Tiradentes (CT),0
29,29.6,Ermelino Matarazzo (EM),0
29,29.6,Freguesia/Brasilândia (FO),0
29,29.6,Guaianases (G),0
29,29.6,Ipiranga (IP),0
29,29.6,Itaim Paulista (IT),0
29,29.6,Itaquera (IQ),0
29,29.6,Jabaquara (JA),0
29,29.6,Jaçanã/Tremembé (JT),0
29,29.6,Lapa (LA),0
29,29.6,M´Boi Mirim (MB),0
29,29.6,Mooca (MO),0
29,29.6,Parelheiros (PA),1
29,29.6,Penha (PE),0
29,29.6,Perus (PR),0
29,29.6,Pinheiros (PI),0
29,29.6,Pirituba/Jaraguá (PJ),0
29,29.6,Santana/Tucuruvi (ST),0
29,29.6,Santo Amaro (SA),0
29,29.6,São Mateus (SM),0
29,29.6,São Miguel Paulista (MP),0
29,29.6,Sapopemba (SP),0
29,29.6,Sé (SE),0
29,29.6,Vila Maria/Vila Guilherme (MG),0
29,29.6,Vila Mariana (VM),0
29,29.6,Vila Prudente (VP),0
29,29.6,A definir,0
29,29.6,Supraregional,0
30,30.1,Aricanduva (AF),3
30,30.1,Butantã (BT),1
30,30.1,Campo Limpo (CL),2
30,30.1,Capela do Socorro (CS),1
30,30.1,Casa Verde (CV),2
30,30.1,Cidade Ademar (AD),0
30,30.1,Cidade Tiradentes (CT),0
30,30.1,Ermelino Matarazzo (EM),1
30,30.1,Freguesia/Brasilândia (FO),2
30,30.1,Guaianases (G),2
30,30.1,Ipiranga (IP),3
30,30.1,Itaim Paulista (IT),1
30,30.1,Itaquera (IQ),3
30,30.1,Jabaquara (JA),1
30,30.1,Jaçanã/Tremembé (JT),1
30,30.1,Lapa (LA),2
30,30.1,M´Boi Mirim (MB),0
30,30.1,Mooca (MO),6
30,30.1,Parelheiros (PA),0
30,30.1,Penha (PE),2
30,30.1,Perus (PR),1
30,30.1,Pinheiros (PI),3
30,30.1,Pirituba/Jaraguá (PJ),2
30,30.1,Santana/Tucuruvi (ST),4
30,30.1,Santo Amaro (SA),2
30,30.1,São Mateus (SM),0
30,30.1,São Miguel Paulista (MP),1
30,30.1,Sapopemba (SP),1
30,30.1,Sé (SE),2
30,30.1,Vila Maria/Vila Guilherme (MG),1
30,30.1,Vila Mariana (VM),2
30,30.1,Vila Prudente (VP),2
30,30.1,A definir,0
30,30.1,Supraregional,0
30,30.3,Aricanduva (AF),11
30,30.3,Butantã (BT),4
30,30.3,Campo Limpo (CL),9
30,30.3,Capela do Socorro (CS),5
30,30.3,Casa Verde (CV),3
30,30.3,Cidade Ademar (AD),0
30,30.3,Cidade Tiradentes (CT),0
30,30.3,Ermelino Matarazzo (EM),5
30,30.3,Freguesia/Brasilândia (FO),13
30,30.3,Guaianases (G),10
30,30.3,Ipiranga (IP),14
30,30.3,Itaim Paulista (IT),6
30,30.3,Itaquera (IQ),14
30,30.3,Jabaquara (JA),5
30,30.3,Jaçanã/Tremembé (JT),5
30,30.3,Lapa (LA),9
30,30.3,M´Boi Mirim (MB),0
30,30.3,Mooca (MO),27
30,30.3,Parelheiros (PA),0
30,30.3,Penha (PE),10
30,30.3,Perus (PR),6
30,30.3,Pinheiros (PI),14
30,30.3,Pirituba/Jaraguá (PJ),10
30,30.3,Santana/Tucuruvi (ST),18
30,30.3,Santo Amaro (SA),15
30,30.3,São Mateus (SM),0
30,30.3,São Miguel Paulista (MP),5
30,30.3,Sapopemba (SP),4
30,30.3,Sé (SE),13
30,30.3,Vila Maria/Vila Guilherme (MG),5
30,30.3,Vila Mariana (VM),7
30,30.3,Vila Prudente (VP),5
30,30.3,A definir,0
30,30.3,Supraregional,0
30,30.4,Aricanduva (AF),3
30,30.4,Butantã (BT),1
30,30.4,Campo Limpo (CL),2
30,30.4,Capela do Socorro (CS),1
30,30.4,Casa Verde (CV),2
30,30.4,Cidade Ademar (AD),0
30,30.4,Cidade Tiradentes (CT),0
30,30.4,Ermelino Matarazzo (EM),1
30,30.4,Freguesia/Brasilândia (FO),2
30,30.4,Guaianases (G),2
30,30.4,Ipiranga (IP),3
30,30.4,Itaim Paulista (IT),1
30,30.4,Itaquera (IQ),3
30,30.4,Jabaquara (JA),1
30,30.4,Jaçanã/Tremembé (JT),1
30,30.4,Lapa (LA),2
30,30.4,M´Boi Mirim (MB),0
30,30.4,Mooca (MO),6
30,30.4,Parelheiros (PA),0
30,30.4,Penha (PE),2
30,30.4,Perus (PR),1
30,30.4,Pinheiros (PI),3
30,30.4,Pirituba/Jaraguá (PJ),2
30,30.4,Santana/Tucuruvi (ST),4
30,30.4,Santo Amaro (SA),2
30,30.4,São Mateus (SM),0
30,30.4,São Miguel Paulista (MP),1
30,30.4,Sapopemba (SP),1
30,30.4,Sé (SE),2
30,30.4,Vila Maria/Vila Guilherme (MG),1
30,30.4,Vila Mariana (VM),2
30,30.4,Vila Prudente (VP),2
30,30.4,A definir,0
30,30.4,Supraregional,0
30,30.5,Aricanduva (AF),3
30,30.5,Butantã (BT),1
30,30.5,Campo Limpo (CL),2
30,30.5,Capela do Socorro (CS),1
30,30.5,Casa Verde (CV),2
30,30.5,Cidade Ademar (AD),0
30,30.5,Cidade Tiradentes (CT),0
30,30.5,Ermelino Matarazzo (EM),1
30,30.5,Freguesia/Brasilândia (FO),2
30,30.5,Guaianases (G),2
30,30.5,Ipiranga (IP),3
30,30.5,Itaim Paulista (IT),1
30,30.5,Itaquera (IQ),3
30,30.5,Jabaquara (JA),1
30,30.5,Jaçanã/Tremembé (JT),1
30,30.5,Lapa (LA),2
30,30.5,M´Boi Mirim (MB),0
30,30.5,Mooca (MO),6
30,30.5,Parelheiros (PA),0
30,30.5,Penha (PE),2
30,30.5,Perus (PR),1
30,30.5,Pinheiros (PI),3
30,30.5,Pirituba/Jaraguá (PJ),2
30,30.5,Santana/Tucuruvi (ST),4
30,30.5,Santo Amaro (SA),2
30,30.5,São Mateus (SM),0
30,30.5,São Miguel Paulista (MP),1
30,30.5,Sapopemba (SP),1
30,30.5,Sé (SE),2
30,30.5,Vila Maria/Vila Guilherme (MG),1
30,30.5,Vila Mariana (VM),2
30,30.5,Vila Prudente (VP),2
30,30.5,A definir,0
30,30.5,Supraregional,0
30,30.6,Aricanduva (AF),3
30,30.6,Butantã (BT),1
30,30.6,Campo Limpo (CL),2
30,30.6,Capela do Socorro (CS),1
30,30.6,Casa Verde (CV),2
30,30.6,Cidade Ademar (AD),0
30,30.6,Cidade Tiradentes (CT),0
30,30.6,Ermelino Matarazzo (EM),1
30,30.6,Freguesia/Brasilândia (FO),2
30,30.6,Guaianases (G),2
30,30.6,Ipiranga (IP),3
30,30.6,Itaim Paulista (IT),1
30,30.6,Itaquera (IQ),3
30,30.6,Jabaquara (JA),1
30,30.6,Jaçanã/Tremembé (JT),1
30,30.6,Lapa (LA),2
30,30.6,M´Boi Mirim (MB),0
30,30.6,Mooca (MO),6
30,30.6,Parelheiros (PA),0
30,30.6,Penha (PE),2
30,30.6,Perus (PR),1
30,30.6,Pinheiros (PI),3
30,30.6,Pirituba/Jaraguá (PJ),2
30,30.6,Santana/Tucuruvi (ST),4
30,30.6,Santo Amaro (SA),2
30,30.6,São Mateus (SM),0
30,30.6,São Miguel Paulista (MP),1
30,30.6,Sapopemba (SP),1
30,30.6,Sé (SE),2
30,30.6,Vila Maria/Vila Guilherme (MG),1
30,30.6,Vila Mariana (VM),2
30,30.6,Vila Prudente (VP),2
30,30.6,A definir,0
30,30.6,Supraregional,0
30,30.8,Aricanduva (AF),0
30,30.8,Butantã (BT),0
30,30.8,Campo Limpo (CL),0
30,30.8,Capela do Socorro (CS),0
30,30.8,Casa Verde (CV),0
30,30.8,Cidade Ademar (AD),1
30,30.8,Cidade Tiradentes (CT),1
30,30.8,Ermelino Matarazzo (EM),0
30,30.8,Freguesia/Brasilândia (FO),0
30,30.8,Guaianases (G),0
30,30.8,Ipiranga (IP),0
30,30.8,Itaim Paulista (IT),0
30,30.8,Itaquera (IQ),0
30,30.8,Jabaquara (JA),0
30,30.8,Jaçanã/Tremembé (JT),0
30,30.8,Lapa (LA),0
30,30.8,M´Boi Mirim (MB),1
30,30.8,Mooca (MO),0
30,30.8,Parelheiros (PA),1
30,30.8,Penha (PE),0
